Price,Open,High,Low,Close,Adj Close,Volume
Ticker,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX
Date,,,,,,
2021-06-17,339.5799865722656,339.5799865722656,310.1000061035156,317.75,278.8856201171875,1776
2021-06-18,318.0,318.0,318.0,318.0,279.1050109863281,82
2021-06-21,318.0,319.0,318.0,318.0,279.1050109863281,591
2021-06-22,318.0,318.0,318.0,318.0,279.1050109863281,0
2021-06-23,317.0,320.0,317.0,317.0,278.227294921875,22596
2021-06-24,320.0,320.0,320.0,320.0,280.8603820800781,5003
2021-06-25,320.0,320.0,320.0,320.0,280.8603820800781,10275
2021-06-28,319.0,320.0,318.0,320.0,280.8603820800781,31006
2021-06-29,319.989990234375,320.0400085449219,319.989990234375,320.0400085449219,280.8955078125,10507
2021-06-30,321.0,321.0,321.0,321.0,281.7380676269531,31
2021-07-01,321.0,321.0,321.0,321.0,281.7380676269531,0
2021-07-02,321.0,321.0,321.0,321.0,281.7380676269531,6
2021-07-05,321.0,321.0,321.0,321.0,281.7380676269531,0
2021-07-06,336.0,345.0400085449219,333.0,339.70001220703125,298.1508483886719,1287
2021-07-07,339.70001220703125,339.70001220703125,339.70001220703125,339.70001220703125,298.1508483886719,19
2021-07-08,346.489990234375,346.489990234375,335.0,337.8999938964844,296.57098388671875,19764
2021-07-09,338.0,340.010009765625,335.0,335.0,294.0257568359375,28012
2021-07-12,328.29998779296875,330.0,321.1000061035156,329.5,289.1983947753906,10203
2021-07-13,330.0,336.0,330.0,336.0,294.9034423828125,19225
2021-07-14,336.0,336.0,336.0,336.0,294.9034423828125,22
2021-07-15,336.0,336.0,321.20001220703125,330.0,289.63726806640625,2371
2021-07-16,330.1000061035156,330.1000061035156,320.0,320.0,280.8603820800781,455
2021-07-19,320.0,320.010009765625,320.0,320.0,280.8603820800781,8181
2021-07-20,320.0,320.0,320.0,320.0,280.8603820800781,0
2021-07-21,336.0,336.0,336.0,336.0,294.9034423828125,82
2021-07-22,336.0,336.0,315.75,325.2200012207031,285.44195556640625,51
2021-07-23,322.0,334.75,316.0,334.75,293.8063049316406,143
2021-07-26,334.75,334.75,334.75,334.75,293.8063049316406,22
2021-07-27,334.75,334.75,334.75,334.75,293.8063049316406,0
2021-07-28,328.04998779296875,331.1499938964844,328.04998779296875,331.1499938964844,290.6466064453125,12041
2021-07-29,330.5,330.5,330.5,330.5,290.0760803222656,13522
2021-07-30,330.5,330.5,330.5,330.5,290.0760803222656,0
2021-08-02,330.5,330.5,330.5,330.5,290.0760803222656,0
2021-08-03,330.5,330.5,330.5,330.5,290.0760803222656,0
2021-08-04,331.5,331.5,330.5,330.5,290.0760803222656,1290
2021-08-05,335.25,341.6000061035156,335.25,340.4200134277344,298.7828063964844,69
2021-08-06,340.0,345.0,340.0,341.0,299.2918395996094,437
2021-08-09,334.17999267578125,341.0,334.17999267578125,340.0,298.4141845703125,464
2021-08-10,344.3900146484375,344.3900146484375,330.0,335.0,294.0257568359375,5017
2021-08-11,340.0,340.0,335.0,335.0,294.0257568359375,3077
2021-08-12,340.0,340.0,340.0,340.0,298.4141845703125,11796
2021-08-13,340.0,344.6000061035156,340.0,343.07000732421875,301.1086730957031,14820
2021-08-16,343.8999938964844,343.8999938964844,326.7799987792969,333.0,292.2703552246094,4588
2021-08-17,339.6600036621094,339.6600036621094,335.0,335.0,294.0257568359375,361
2021-08-18,335.0,335.0,335.0,335.0,294.0257568359375,0
2021-08-19,330.25,331.0,329.95001220703125,329.95001220703125,289.5933837890625,577
2021-08-20,329.95001220703125,329.95001220703125,329.95001220703125,329.95001220703125,289.5933837890625,0
2021-08-23,332.0,332.0,332.0,332.0,291.3926696777344,25
2021-08-24,330.0,330.0,330.0,330.0,289.63726806640625,441
2021-08-25,330.0,330.0,330.0,330.0,289.63726806640625,0
2021-08-26,330.0,330.0,330.0,330.0,289.63726806640625,982
2021-08-27,332.0,332.0,332.0,332.0,291.3926696777344,7
2021-08-30,330.0,330.0,330.0,330.0,289.63726806640625,30
2021-08-31,330.0,330.0,326.0,330.0,289.63726806640625,144
2021-09-01,330.0,330.0,330.0,330.0,289.63726806640625,5
2021-09-02,325.0,332.0,325.0,332.0,291.3926696777344,530
2021-09-03,330.0,330.0,320.0,329.0,288.7596130371094,10014
2021-09-06,338.0,338.0,338.0,338.0,296.6587829589844,72
2021-09-07,332.0,332.0,325.0,325.0,285.24884033203125,9336
2021-09-08,325.0,325.0,325.0,325.0,285.24884033203125,3752
2021-09-09,325.0,333.0,322.0,327.8500061035156,287.750244140625,58
2021-09-10,325.0400085449219,325.0400085449219,320.0,320.0,280.8603820800781,792
2021-09-13,320.0,320.0,306.05999755859375,309.0,271.205810546875,6922
2021-09-14,306.05999755859375,308.0,297.0,308.0,270.328125,39669
2021-09-15,310.0,310.0,308.0,310.0,272.08349609375,646
2021-09-17,306.82000732421875,315.0,305.0,315.0,276.471923828125,78
2021-09-20,317.7900085449219,317.7900085449219,317.7900085449219,317.7900085449219,278.9206848144531,85
2021-09-21,310.0,317.0,310.0,317.0,278.227294921875,255
2021-09-22,320.0,320.0,320.0,320.0,280.8603820800781,10
2021-09-23,325.0,325.0,325.0,325.0,285.24884033203125,28
2021-09-24,320.0,320.0,319.989990234375,319.989990234375,280.8515625,512
2021-09-27,313.5899963378906,313.5899963378906,313.5899963378906,313.5899963378906,275.2344055175781,10
2021-09-28,318.29998779296875,320.0,311.0,320.0,280.8603820800781,87
2021-09-29,312.0,320.0,312.0,320.0,280.8603820800781,214
2021-09-30,320.0,330.0,320.0,330.0,289.63726806640625,77
2021-10-01,331.0,334.6199951171875,330.9700012207031,334.6199951171875,293.6921691894531,5974
2021-10-04,334.6199951171875,334.6199951171875,334.6199951171875,334.6199951171875,293.6921691894531,34
2021-10-05,334.6199951171875,334.6199951171875,330.0,330.0,289.63726806640625,112
2021-10-06,334.0,334.0,333.80999755859375,333.989990234375,293.1392822265625,33338
2021-10-07,333.989990234375,333.989990234375,333.989990234375,333.989990234375,293.1392822265625,0
2021-10-08,330.0,334.0,330.0,334.0,293.1480407714844,51254
2021-10-11,330.739990234375,335.0,330.0,334.989990234375,294.0169677734375,30016
2021-10-12,334.9700012207031,334.9700012207031,334.9700012207031,334.9700012207031,293.9993896484375,14
2021-10-13,334.9700012207031,334.9700012207031,334.9700012207031,334.9700012207031,293.9993896484375,0
2021-10-14,334.9599914550781,334.9599914550781,334.9599914550781,334.9599914550781,293.9906005859375,45
2021-10-15,330.0,334.0,330.0,331.82000732421875,291.23468017578125,139
2021-10-18,331.82000732421875,331.82000732421875,331.82000732421875,331.82000732421875,291.23468017578125,10
2021-10-19,326.0,334.0,326.0,334.0,293.1480407714844,76
2021-10-20,334.0,334.0,334.0,334.0,293.1480407714844,29
2021-10-21,333.0,333.0,333.0,333.0,292.2703552246094,21
2021-10-22,330.0,330.0,330.0,330.0,289.63726806640625,20
