Price,Open,High,Low,Close,Adj Close,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,,
2020-08-27,152.4199981689453,153.25999450683594,151.88999938964844,152.97999572753906,133.61831665039062,5575400
2020-08-28,152.74000549316406,153.6999969482422,151.89999389648438,153.63999938964844,134.19480895996094,5395700
2020-08-31,153.0,154.39999389648438,152.25999450683594,153.41000366210938,133.993896484375,6362700
2020-09-01,153.8699951171875,154.0800018310547,150.07000732421875,151.52000427246094,132.3430938720703,6307700
2020-09-02,150.7899932861328,154.3300018310547,149.25,153.8300018310547,134.3607635498047,6881900
2020-09-03,154.8300018310547,155.47000122070312,148.3000030517578,149.5500030517578,130.62246704101562,8672800
2020-09-04,150.1699981689453,150.9499969482422,147.1300048828125,148.58999633789062,129.78392028808594,7200100
2020-09-08,150.25,150.88999938964844,146.89999389648438,147.25999450683594,128.6222686767578,8756800
2020-09-09,148.14999389648438,151.10000610351562,148.1199951171875,149.6999969482422,130.7534942626953,6960700
2020-09-10,149.25,149.77999877929688,146.52000427246094,146.91000366210938,128.31658935546875,6191800
2020-09-11,147.0500030517578,148.52999877929688,146.6300048828125,147.77999877929688,129.07644653320312,3934700
2020-09-14,148.1199951171875,149.47000122070312,148.00999450683594,148.35000610351562,129.57432556152344,4375800
2020-09-15,149.4499969482422,150.58999633789062,148.52000427246094,148.88999938964844,130.04600524902344,3658800
2020-09-16,149.38999938964844,150.05999755859375,148.35000610351562,148.39999389648438,129.6179962158203,4323000
2020-09-17,148.0399932861328,148.6300048828125,146.0500030517578,147.1699981689453,128.5436553955078,5461400
2020-09-18,146.50999450683594,149.64999389648438,146.1999969482422,149.17999267578125,130.29925537109375,12174000
2020-09-21,147.5800018310547,147.92999267578125,142.9600067138672,145.10000610351562,126.73567199707031,7574500
2020-09-22,144.69000244140625,145.35000610351562,143.72000122070312,144.2100067138672,125.95832061767578,5295900
2020-09-23,147.47999572753906,147.5500030517578,144.3800048828125,144.44000244140625,126.15919494628906,8784400
2020-09-24,144.55999755859375,145.25,143.33999633789062,144.6699981689453,126.36009216308594,5614800
2020-09-25,144.0,146.25,143.88999938964844,145.66000366210938,127.22480773925781,5531200
2020-09-28,146.72999572753906,148.2899932861328,146.4199981689453,147.11000061035156,128.49127197265625,5843200
2020-09-29,147.60000610351562,147.9199981689453,146.05999755859375,147.05999755859375,128.44760131835938,6768600
2020-09-30,147.4499969482422,149.72999572753906,146.83999633789062,148.8800048828125,130.0372314453125,8487700
2020-10-01,149.30999755859375,149.64999389648438,146.4600067138672,147.32000732421875,128.67471313476562,6457800
2020-10-02,146.2100067138672,148.41000366210938,145.8300018310547,146.24000549316406,127.73136901855469,5485600
2020-10-05,147.0,148.3800048828125,146.4199981689453,148.22999572753906,129.4695587158203,4992800
2020-10-06,148.27999877929688,148.61000061035156,145.8699951171875,146.25999450683594,127.74884796142578,5118200
2020-10-07,146.49000549316406,148.22999572753906,145.80999755859375,147.8800048828125,129.16380310058594,5603100
2020-10-08,148.5,149.85000610351562,148.0399932861328,148.88999938964844,130.04600524902344,4413500
2020-10-09,149.64999389648438,151.47999572753906,149.4499969482422,150.97000122070312,131.8627471923828,5054100
2020-10-12,151.60000610351562,153.13999938964844,151.02000427246094,151.83999633789062,132.6226043701172,7273200
2020-10-13,149.0,150.1199951171875,147.77000427246094,148.36000061035156,129.58303833007812,11057600
2020-10-14,148.82000732421875,149.02999877929688,147.38999938964844,148.10000610351562,129.35597229003906,7706400
2020-10-15,147.47999572753906,147.89999389648438,146.3300018310547,147.19000244140625,128.56117248535156,5978600
2020-10-16,147.60000610351562,148.75999450683594,147.00999450683594,148.10000610351562,129.35597229003906,6097000
2020-10-19,148.52999877929688,148.89999389648438,144.1300048828125,144.32000732421875,126.05438232421875,7250800
2020-10-20,144.66000366210938,145.75,144.1199951171875,144.5500030517578,126.25525665283203,5325400
2020-10-21,144.1199951171875,145.33999633789062,143.91000366210938,143.92999267578125,125.7137451171875,5221300
